Symbol,Company Name,Industry,Market Cap
AS,"Amer Sports, Inc.",Leisure,7.82B
ASA,ASA Gold and Precious Metals Limited,Asset Management,352.04M
ASAI,Sendas Distribuidora S.A.,Grocery Stores,3.48B
ASAN,"Asana, Inc.",Software - Application,3.44B
ASB,Associated Banc-Corp,Banks - Regional,3.35B
ASC,Ardmore Shipping Corporation,Marine Shipping,856.34M
ASCB,A SPAC II Acquisition Corporation,Shell Companies,79.88M
ASGN,ASGN Incorporated,Information Technology Services,4.55B
ASH,Ashland Inc.,Specialty Chemicals,4.88B
ASIX,AdvanSix Inc.,Chemicals,658.94M
ASLE,AerSale Corporation,Airports & Air Services,420.22M
ASLN,ASLAN Pharmaceuticals Limited,Biotechnology,7.56M
ASM,Avino Silver & Gold Mines Ltd.,Other Precious Metals & Mining,106.26M
ASMB,"Assembly Biosciences, Inc.",Biotechnology,71.55M
ASML,ASML Holding N.V.,Semiconductor Equipment & Materials,365.10B
ASND,Ascendis Pharma A/S,Biotechnology,7.55B
ASNS,"Actelis Networks, Inc.",Communication Equipment,1.75M
ASO,"Academy Sports and Outdoors, Inc.",Specialty Retail,4.18B
ASPI,ASP Isotopes Inc.,Chemicals,174.41M
ASPN,"Aspen Aerogels, Inc.",Building Products & Equipment,2.04B
ASPS,Altisource Portfolio Solutions S.A.,Real Estate Services,50.41M
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,10.33B
ASRT,"Assertio Holdings, Inc.",Drug Manufacturers - Specialty & Generic,92.10M
ASRV,"AmeriServ Financial, Inc.",Banks - Regional,46.01M
ASST,Asset Entities Inc.,Internet Content & Information,5.40M
ASTC,Astrotech Corporation,Aerospace & Defense,15.33M
ASTE,"Astec Industries, Inc.",Farm & Heavy Construction Machinery,785.40M
ASTH,"Astrana Health, Inc.",Medical Care Facilities,1.87B
ASTI,"Ascent Solar Technologies, Inc.",Solar,1.84M
ASTL,Algoma Steel Group Inc.,Steel,804.22M
ASTR,"Astra Space, Inc.",Aerospace & Defense,13.64M
ASTS,"AST SpaceMobile, Inc.",Communication Equipment,591.46M
ASUR,"Asure Software, Inc.",Software - Application,191.53M
ASX,"ASE Technology Holding Co., Ltd.",Semiconductors,22.70B
ASXC,"Asensus Surgical, Inc.",Medical Devices,71.64M
ASYS,"Amtech Systems, Inc.",Semiconductor Equipment & Materials,73.79M
ATAI,Atai Life Sciences N.V.,Biotechnology,323.11M
ATAT,Atour Lifestyle Holdings Limited,Lodging,2.44B
ATCH,AtlasClear Holdings Inc.,Software - Infrastructure,9.96M
ATEC,"Alphatec Holdings, Inc.",Medical Devices,1.57B
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,135.97M
ATEN,"A10 Networks, Inc.",Software - Infrastructure,1.16B
ATER,"Aterian, Inc.","Furnishings, Fixtures & Appliances",21.94M
ATEX,Anterix Inc.,Telecom Services,590.97M
ATGE,Adtalem Global Education Inc.,Education & Training Services,2.42B
ATGL,Alpha Technology Group Limited,Software - Infrastructure,72.37M
ATHA,"Athira Pharma, Inc.",Biotechnology,81.83M
ATHE,Alterity Therapeutics Limited,Biotechnology,20.09M
ATHM,Autohome Inc.,Internet Content & Information,3.53B
ATI,ATI Inc.,Metal Fabrication,7.56B
ATIF,ATIF Holdings Limited,Capital Markets,8.57M
ATIP,"ATI Physical Therapy, Inc.",Medical Care Facilities,20.88M
ATKR,Atkore Inc.,Electrical Equipment & Parts,5.83B
ATLC,Atlanticus Holdings Corporation,Credit Services,425.66M
ATLO,Ames National Corporation,Banks - Regional,188.84M
ATLX,Atlas Lithium Corporation,Other Precious Metals & Mining,228.69M
ATMC,AlphaTime Acquisition Corp,Shell Companies,75.75M
ATMU,Atmus Filtration Technologies Inc.,Pollution & Treatment Controls,2.54B
ATMV,AlphaVest Acquisition Corp,Shell Companies,77.21M
ATNF,180 Life Sciences Corp.,Biotechnology,1.82M
ATNI,"ATN International, Inc.",Telecom Services,376.15M
ATNM,"Actinium Pharmaceuticals, Inc.",Biotechnology,258.97M
ATO,Atmos Energy Corporation,Utilities - Regulated Gas,17.65B
ATOM,Atomera Incorporated,Semiconductor Equipment & Materials,118.57M
ATOS,"Atossa Therapeutics, Inc.",Biotechnology,191.72M
ATPC,Agape ATP Corporation,Packaged Foods,19.72M
ATR,"AptarGroup, Inc.",Medical Instruments & Supplies,9.85B
ATRA,"Atara Biotherapeutics, Inc.",Biotechnology,66.70M
ATRC,"AtriCure, Inc.",Medical Instruments & Supplies,1.06B
