Symbol,Company Name,Industry,Market Cap
LBPH,"Longboard Pharmaceuticals, Inc.",Biotechnology,802.10M
LBRDA,Liberty Broadband Corporation,Telecom Services,7.58B
LBRDK,Liberty Broadband Corporation,Telecom Services,7.59B
LBRT,Liberty Energy Inc.,Oil & Gas Equipment & Services,3.69B
LBTYA,Liberty Global plc,Telecom Services,6.62B
LBTYB,Liberty Global plc,Telecom Services,7.02B
LBTYK,Liberty Global plc,Telecom Services,6.62B
LC,LendingClub Corporation,Credit Services,992.30M
LCAA,L Catterton Asia Acquisition Corp,Shell Companies,391.06M
LCFY,Locafy Limited,Internet Content & Information,4.53M
LCID,"Lucid Group, Inc.",Auto Manufacturers,6.04B
LCII,LCI Industries,Recreational Vehicles,2.89B
LCNB,LCNB Corp.,Banks - Regional,191.75M
LCTX,"Lineage Cell Therapeutics, Inc.",Biotechnology,216.55M
LCUT,"Lifetime Brands, Inc.","Furnishings, Fixtures & Appliances",236.18M
LCW,Learn CW Investment Corporation,Shell Companies,165.52M
LDI,"loanDepot, Inc.",Mortgage Finance,670.41M
LDOS,"Leidos Holdings, Inc.",Information Technology Services,19.89B
LDTC,LeddarTech Holdings Inc.,Software - Application,63.85M
LDWY,"Lendway, Inc.",Advertising Agencies,9.83M
LE,"Lands' End, Inc.",Apparel Retail,451.85M
LEA,Lear Corporation,Auto Parts,7.39B
LECO,"Lincoln Electric Holdings, Inc.",Tools & Accessories,13.40B
LEDS,SemiLEDs Corporation,Semiconductors,10.48M
LEE,"Lee Enterprises, Incorporated",Publishing,73.72M
LEG,"Leggett & Platt, Incorporated","Furnishings, Fixtures & Appliances",1.68B
LEGH,Legacy Housing Corporation,Residential Construction,538.78M
LEGN,Legend Biotech Corporation,Biotechnology,7.98B
LEGT,Legato Merger Corp. III,Shell Companies,260.40M
LEN,Lennar Corporation,Residential Construction,44.90B
LEN.B,Lennar Corporation,Residential Construction,44.76B
LENZ,"LENZ Therapeutics, Inc.",Biotechnology,405.73M
LESL,"Leslie's, Inc.",Specialty Retail,890.28M
LEU,Centrus Energy Corp.,Uranium,669.01M
LEV,The Lion Electric Company,Farm & Heavy Construction Machinery,204.14M
LEVI,Levi Strauss & Co.,Apparel Manufacturing,9.06B
LEXX,Lexaria Bioscience Corp.,Biotechnology,47.16M
LFCR,"Lifecore Biomedical, Inc.",Drug Manufacturers - Specialty & Generic,195.50M
LFLY,"Leafly Holdings, Inc.",Pharmaceutical Retailers,4.63M
LFMD,"LifeMD, Inc.",Health Information Services,374.95M
LFST,"LifeStance Health Group, Inc.",Medical Care Facilities,2.62B
LFT,"Lument Finance Trust, Inc.",REIT - Mortgage,120.19M
LFUS,"Littelfuse, Inc.",Electronic Components,6.33B
LFVN,LifeVantage Corporation,Packaged Foods,85.79M
LFWD,ReWalk Robotics Ltd.,Medical Devices,43.83M
LGCB,Linkage Global Inc,Internet Retail,60.63M
LGCL,Lucas GC Limited,Software - Application,292.79M
LGF.A,Lions Gate Entertainment Corp.,Entertainment,2.36B
LGF.B,Lions Gate Entertainment Corp.,Entertainment,2.38B
LGHL,Lion Group Holding Ltd.,Capital Markets,1.83M
LGIH,"LGI Homes, Inc.",Residential Construction,2.34B
LGL,"The LGL Group, Inc.",Electronic Components,28.29M
LGMK,"LogicMark, Inc.",Health Information Services,1.81M
LGND,Ligand Pharmaceuticals Incorporated,Biotechnology,1.54B
LGO,Largo Inc.,Other Industrial Metals & Mining,103.12M
LGVN,Longeveron Inc.,Biotechnology,9.24M
LH,Laboratory Corporation of America Holdings,Diagnostics & Research,17.47B
LHX,"L3Harris Technologies, Inc.",Aerospace & Defense,41.56B
LI,Li Auto Inc.,Auto Manufacturers,27.18B
LIBY,Liberty Resources Acquisition Corp.,Shell Companies,79.98M
LICN,Lichen China Limited,Specialty Business Services,28.62M
LICY,Li-Cycle Holdings Corp.,Waste Management,113.53M
LIDR,"AEye, Inc.",Software - Infrastructure,13.26M
LIFE,"aTyr Pharma, Inc.",Biotechnology,119.39M
LIFW,"MSP Recovery, Inc.",Health Information Services,118.30M
LII,Lennox International Inc.,Building Products & Equipment,17.52B
LILA,Liberty Latin America Ltd.,Telecom Services,1.67B
LILAK,Liberty Latin America Ltd.,Telecom Services,1.66B
LILM,Lilium N.V.,Aerospace & Defense,530.02M
LIN,Linde plc,Specialty Chemicals,208.26B
LINC,Lincoln Educational Services Corporation,Education & Training Services,384.87M
LIND,"Lindblad Expeditions Holdings, Inc.",Travel Services,385.44M
LINK,"Interlink Electronics, Inc.",Electronic Components,43.31M
LIPO,Lipella Pharmaceuticals Inc.,Biotechnology,4.60M
LIQT,"LiqTech International, Inc.",Pollution & Treatment Controls,16.45M
LITB,"LightInTheBox Holding Co., Ltd.",Internet Retail,82.60M
LITE,Lumentum Holdings Inc.,Communication Equipment,2.95B
LITM,Snow Lake Resources Ltd.,Other Industrial Metals & Mining,17.48M
LIVE,Live Ventures Incorporated,Home Improvement Retail,81.67M
LIVN,LivaNova PLC,Medical Devices,3.35B
LIXT,"Lixte Biotechnology Holdings, Inc.",Biotechnology,5.58M
LKCO,Luokung Technology Corp.,Software - Application,9.68M
LKFN,Lakeland Financial Corporation,Banks - Regional,1.57B
LKQ,LKQ Corporation,Auto Parts,11.83B
LL,"LL Flooring Holdings, Inc.",Home Improvement Retail,48.73M
LLAP,Terran Orbital Corporation,Aerospace & Defense,208.32M
LLY,Eli Lilly and Company,Drug Manufacturers - General,725.30B
LLYVA,Liberty Live Group - Series A,Entertainment,3.59B
LLYVK,Liberty Live Group - Series C,Entertainment,3.60B
LMAT,"LeMaitre Vascular, Inc.",Medical Instruments & Supplies,1.70B
LMB,"Limbach Holdings, Inc.",Building Products & Equipment,574.34M
LMFA,"LM Funding America, Inc.",Credit Services,5.96M
LMND,"Lemonade, Inc.",Insurance - Property & Casualty,1.17B
LMNR,Limoneira Company,Farm Products,381.16M
LMT,Lockheed Martin Corporation,Aerospace & Defense,112.48B
LNC,Lincoln National Corporation,Insurance - Life,4.95B
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Farm Products,492.41M
LNG,"Cheniere Energy, Inc.",Oil & Gas Midstream,35.64B
LNKB,"LINKBANCORP, Inc.",Banks - Regional,239.40M
LNN,Lindsay Corporation,Farm & Heavy Construction Machinery,1.31B
LNSR,"LENSAR, Inc.",Medical Devices,43.99M
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,13.15B
LNTH,"Lantheus Holdings, Inc.",Drug Manufacturers - Specialty & Generic,5.28B
LNW,"Light & Wonder, Inc.",Gambling,8.11B
LNZA,"LanzaTech Global, Inc.",Waste Management,508.18M
LOAN,"Manhattan Bridge Capital, Inc.",REIT - Mortgage,58.34M
FSBW,"FS Bancorp, Inc.",Banks - Regional,259.93M
FSEA,First Seacoast Bancorp,Banks - Regional,44.32M
FSFG,"First Savings Financial Group, Inc.",Banks - Regional,110.82M
FSI,"Flexible Solutions International, Inc.",Specialty Chemicals,25.40M
FSK,FS KKR Capital Corp.,Asset Management,5.55B
FSLR,"First Solar, Inc.",Solar,20.56B
FSLY,"Fastly, Inc.",Software - Application,1.18B
FSM,Fortuna Silver Mines Inc.,Gold,1.59B
FSP,Franklin Street Properties Corp.,REIT - Office,198.59M
FSS,Federal Signal Corporation,Pollution & Treatment Controls,5.31B
FSTR,L.B. Foster Company,Railroads,320.92M
FSV,FirstService Corporation,Real Estate Services,6.77B
FTAI,FTAI Aviation Ltd,Rental & Leasing Services,7.89B
FTCI,"FTC Solar, Inc.",Solar,62.99M
FTDR,"Frontdoor, Inc.",Personal Services,2.82B
FTEK,"Fuel Tech, Inc.",Pollution & Treatment Controls,38.89M
FTEL,Fitell Corporation,Specialty Retail,148.34M
FTFT,Future FinTech Group Inc.,Software - Application,15.65M
FTHM,Fathom Holdings Inc.,Real Estate Services,29.92M
FTI,TechnipFMC plc,Oil & Gas Equipment & Services,11.42B
FTII,FutureTech II Acquisition Corp.,Shell Companies,65.93M
FTK,"Flotek Industries, Inc.",Oil & Gas Equipment & Services,102.04M
FTLF,"FitLife Brands, Inc.",Packaged Foods,138.96M
FTNT,"Fortinet, Inc.",Software - Infrastructure,44.59B
FTRE,Fortrea Holdings Inc.,Biotechnology,3.03B
FTS,Fortis Inc.,Utilities - Regulated Electric,20.33B
FTV,Fortive Corporation,Scientific & Technical Instruments,27.07B
FUBO,fuboTV Inc.,Broadcasting,377.85M
FUFU,BitFuFu Inc.,Capital Markets,13.14M
FUL,H.B. Fuller Company,Specialty Chemicals,4.32B
FULC,"Fulcrum Therapeutics, Inc.",Biotechnology,461.49M
FULT,Fulton Financial Corporation,Banks - Regional,3.16B
FUN,"Cedar Fair, L.P.",Leisure,2.26B
FUNC,First United Corporation,Banks - Regional,149.87M
FURY,Fury Gold Mines Limited,Other Industrial Metals & Mining,59.02M
FUSB,"First US Bancshares, Inc.",Banks - Regional,62.27M
FUSN,Fusion Pharmaceuticals Inc.,Biotechnology,1.82B
FUTU,Futu Holdings Limited,Capital Markets,9.35B
FVCB,"FVCBankcorp, Inc.",Banks - Regional,199.10M
FVRR,Fiverr International Ltd.,Internet Content & Information,906.40M
FWBI,"First Wave BioPharma, Inc.",Biotechnology,5.57M
FWONA,Formula One Group - Series A,Entertainment,30.09B
FWONK,Formula One Group - Series C,Entertainment,28.10B
FWRD,Forward Air Corporation,Integrated Freight & Logistics,388.96M
FWRG,"First Watch Restaurant Group, Inc.",Restaurants,1.28B
FXNC,First National Corporation,Banks - Regional,96.04M
FYBR,"Frontier Communications Parent, Inc.",Telecom Services,6.44B
G,Genpact Limited,Information Technology Services,6.09B
GABC,"German American Bancorp, Inc.",Banks - Regional,955.22M
GAIA,"Gaia, Inc.",Entertainment,92.21M
GAIN,Gladstone Investment Corporation,Asset Management,507.13M
GALT,Galectin Therapeutics Inc.,Biotechnology,187.26M
GAMB,Gambling.com Group Limited,Gambling,343.50M
GAMC,Golden Arrow Merger Corp.,Shell Companies,82.05M
GAME,GameSquare Holdings Inc,Electronic Gaming & Multimedia,16.97M
GAN,GAN Limited,Gambling,58.64M
GANX,"Gain Therapeutics, Inc.",Biotechnology,46.75M
GAQ,Generation Asia I Acquisition Limited,Shell Companies,168.83M
GASS,StealthGas Inc.,Marine Shipping,231.63M
GATE,Marblegate Acquisition Corp.,Shell Companies,123.72M
GATO,"Gatos Silver, Inc.",Other Precious Metals & Mining,733.84M
GATX,GATX Corporation,Rental & Leasing Services,4.71B
GAU,Galiano Gold Inc.,Gold,449.63M
GB,Global Blue Group Holding AG,Software - Infrastructure,933.37M
GBBK,Global Blockchain Acquisition Corp.,Shell Companies,77.82M
GBCI,"Glacier Bancorp, Inc.",Banks - Regional,4.39B
GBDC,"Golub Capital BDC, Inc.",Asset Management,2.86B
GBIO,Generation Bio Co.,Biotechnology,206.78M
GBLI,"Global Indemnity Group, LLC",Insurance - Property & Casualty,439.83M
GBNY,"Generations Bancorp NY, Inc.",Banks - Regional,22.64M
GBR,"New Concept Energy, Inc.",Real Estate Services,6.11M
GBTG,"Global Business Travel Group, Inc.",Software - Application,2.84B
GBX,"The Greenbrier Companies, Inc.",Railroads,1.65B
GCBC,"Greene County Bancorp, Inc.",Banks - Regional,498.03M
GCI,"Gannett Co., Inc.",Publishing,465.51M
GCMG,GCM Grosvenor Inc,Asset Management,1.80B
GCO,Genesco Inc.,Apparel Retail,302.75M
GCT,GigaCloud Technology Inc.,Software - Infrastructure,1.52B
GCTK,"GlucoTrack, Inc.",Medical Instruments & Supplies,14.99M
GCTS,"GCT Semiconductor Holding, Inc.",Semiconductors,258.96M
GD,General Dynamics Corporation,Aerospace & Defense,81.28B
GDC,GD Culture Group Limited,Electronic Gaming & Multimedia,5.78M
GDDY,GoDaddy Inc.,Software - Infrastructure,18.92B
GDEN,"Golden Entertainment, Inc.",Resorts & Casinos,917.41M
GDEV,GDEV Inc.,Electronic Gaming & Multimedia,428.43M
GDHG,Golden Heaven Group Holdings Ltd.,Leisure,13.05M
GDOT,Green Dot Corporation,Credit Services,502.15M
GDRX,"GoodRx Holdings, Inc.",Health Information Services,2.62B
GDS,GDS Holdings Limited,Information Technology Services,1.58B
GDST,Goldenstone Acquisition Limited,Shell Companies,75.90M
GDTC,CytoMed Therapeutics Limited,Biotechnology,24.58M
GDYN,"Grid Dynamics Holdings, Inc.",Information Technology Services,784.34M
GE,GE Aerospace,Aerospace & Defense,179.24B
GECC,Great Elm Capital Corp.,Asset Management,96.84M
GEF,"Greif, Inc.",Packaging & Containers,3.04B
GEF.B,"Greif, Inc.",Packaging & Containers,3.03B
GEG,"Great Elm Group, Inc.",Asset Management,60.99M
GEHC,GE HealthCare Technologies Inc.,Health Information Services,37.83B
GEL,"Genesis Energy, L.P.",Oil & Gas Midstream,1.60B
GEN,Gen Digital Inc.,Software - Infrastructure,14.88B
GENC,"Gencor Industries, Inc.",Farm & Heavy Construction Machinery,275.13M
GENE,Genetic Technologies Limited,Diagnostics & Research,11.64M
GENI,Genius Sports Limited,Internet Content & Information,1.11B
GENK,"GEN Restaurant Group, Inc.",Restaurants,339.47M
GEO,"The GEO Group, Inc.",Security & Protection Services,1.72B
GEOS,Geospace Technologies Corporation,Oil & Gas Equipment & Services,148.62M
GERN,Geron Corporation,Biotechnology,2.25B
GES,"Guess', Inc.",Apparel Retail,1.41B
GETR,"Getaround, Inc.",Software - Application,20.94M
GETY,"Getty Images Holdings, Inc.",Internet Content & Information,1.44B
GEV,GE Vernova Inc.,Utilities - Renewable,45.91B
GEVO,"Gevo, Inc.",Specialty Chemicals,165.84M
GFAI,"Guardforce AI Co., Limited",Security & Protection Services,30.23M
GFF,Griffon Corporation,Conglomerates,3.58B
GFI,Gold Fields Limited,Gold,15.18B
GFL,GFL Environmental Inc.,Waste Management,11.80B
GFR,Greenfire Resources Ltd,Oil & Gas Exploration & Production,406.84M
GFS,GLOBALFOUNDRIES Inc.,Semiconductors,27.93B
GGAL,Grupo Financiero Galicia S.A.,Banks - Regional,6.44B
GGB,Gerdau S.A.,Steel,6.41B
GGG,Graco Inc.,Specialty Industrial Machinery,14.16B
GGR,Gogoro Inc.,Auto Manufacturers,405.57M
GH,"Guardant Health, Inc.",Diagnostics & Research,2.59B
GHC,Graham Holdings Company,Education & Training Services,3.41B
GHG,GreenTree Hospitality Group Ltd.,Lodging,332.09M
GHI,Greystone Housing Impact Investors LP,Mortgage Finance,355.70M
GHIX,"Gores Holdings IX, Inc.",Shell Companies,202.18M
GHLD,Guild Holdings Company,Mortgage Finance,885.75M
GHM,Graham Corporation,Specialty Industrial Machinery,317.05M
GHRS,GH Research PLC,Biotechnology,647.76M
GHSI,"Guardion Health Sciences, Inc.",Drug Manufacturers - Specialty & Generic,10.54M
GIB,CGI Inc.,Information Technology Services,23.28B
GIC,Global Industrial Company,Industrial Distribution,1.33B
GIFI,"Gulf Island Fabrication, Inc.",Metal Fabrication,110.95M
GIGM,GigaMedia Limited,Electronic Gaming & Multimedia,14.48M
GIII,"G-III Apparel Group, Ltd.",Apparel Manufacturing,1.27B
GIL,Gildan Activewear Inc.,Apparel Manufacturing,5.65B
GILD,"Gilead Sciences, Inc.",Drug Manufacturers - General,82.47B
GILT,Gilat Satellite Networks Ltd.,Communication Equipment,317.58M
GIPR,"Generation Income Properties, Inc.",REIT - Diversified,22.31M
GIS,"General Mills, Inc.",Packaged Foods,39.76B
GKOS,Glaukos Corporation,Medical Devices,5.49B
GL,Globe Life Inc.,Insurance - Life,8.27B
GLAC,Global Lights Acquisition Corp,Shell Companies,91.99M
GLAD,Gladstone Capital Corporation,Asset Management,480.56M
GLBE,Global-e Online Ltd.,Internet Retail,4.90B
GLBS,Globus Maritime Limited,Marine Shipping,44.18M
GLBZ,Glen Burnie Bancorp,Banks - Regional,15.74M
GLDD,Great Lakes Dredge & Dock Corporation,Engineering & Construction,607.97M
GLDG,GoldMining Inc.,Gold,153.20M
GLLI,Globalink Investment Inc.,Shell Companies,66.92M
GLMD,Galmed Pharmaceuticals Ltd.,Biotechnology,2.43M
GLNG,Golar LNG Limited,Oil & Gas Midstream,2.71B
GLOB,Globant S.A.,Information Technology Services,7.50B
GLP,Global Partners LP,Oil & Gas Midstream,1.50B
GLPG,Galapagos NV,Biotechnology,1.89B
GLPI,"Gaming and Leisure Properties, Inc.",REIT - Specialty,12.07B
GLRE,"Greenlight Capital Re, Ltd.",Insurance - Reinsurance,460.32M
GLSI,"Greenwich LifeSciences, Inc.",Biotechnology,181.46M
GLST,"Global Star Acquisition, Inc.",Shell Companies,81.59M
GLT,Glatfelter Corporation,Paper & Paper Products,73.82M
GLTO,"Galecto, Inc.",Biotechnology,18.57M
GLUE,"Monte Rosa Therapeutics, Inc.",Biotechnology,240.05M
GLW,Corning Incorporated,Electronic Components,29.33B
GLYC,"GlycoMimetics, Inc.",Biotechnology,16.96M
GM,General Motors Company,Auto Manufacturers,51.47B
GMAB,Genmab A/S,Biotechnology,18.75B
GME,GameStop Corp.,Specialty Retail,5.60B
GMED,"Globus Medical, Inc.",Medical Devices,8.68B
GMFI,Aetherium Acquisition Corp.,Shell Companies,63.10M
GMGI,"Golden Matrix Group, Inc.",Electronic Gaming & Multimedia,607.50M
GMM,Global Mofy Metaverse Limited,Information Technology Services,26.58M
GMRE,Global Medical REIT Inc.,REIT - Healthcare Facilities,584.60M
GMS,GMS Inc.,Building Products & Equipment,3.73B
GNE,Genie Energy Ltd.,Utilities - Regulated Electric,416.96M
GNFT,Genfit S.A.,Biotechnology,187.07M
GNK,Genco Shipping & Trading Limited,Marine Shipping,979.01M
GNL,"Global Net Lease, Inc.",REIT - Diversified,1.72B
GNLN,"Greenlane Holdings, Inc.",Tobacco,2.06M
GNLX,Genelux Corporation,Biotechnology,101.15M
GNPX,"Genprex, Inc.",Biotechnology,4.95M
GNRC,Generac Holdings Inc.,Specialty Industrial Machinery,8.28B
GNS,Genius Group Limited,Education & Training Services,73.80M
GNSS,Genasys Inc.,Scientific & Technical Instruments,94.82M
GNTA,Genenta Science S.p.A.,Biotechnology,56.65M
GNTX,Gentex Corporation,Auto Parts,8.06B
GNTY,"Guaranty Bancshares, Inc.",Banks - Regional,343.73M
GNW,"Genworth Financial, Inc.",Insurance - Life,2.90B
GO,Grocery Outlet Holding Corp.,Grocery Stores,2.09B
GOCO,"GoHealth, Inc.",Insurance Brokers,204.05M
GODN,Golden Star Acquisition Corporation,Shell Companies,96.20M
GOEV,Canoo Inc.,Auto Manufacturers,165.37M
GOGL,Golden Ocean Group Limited,Marine Shipping,2.99B
GOGO,Gogo Inc.,Telecom Services,1.31B
GOLD,Barrick Gold Corporation,Gold,29.88B
GOLF,Acushnet Holdings Corp.,Leisure,4.05B
GOOD,Gladstone Commercial Corporation,REIT - Diversified,587.20M
GOOG,Alphabet Inc.,Internet Content & Information,"2,078.76B"
GOOGL,Alphabet Inc.,Internet Content & Information,"2,079.65B"
GOOS,Canada Goose Holdings Inc.,Apparel Manufacturing,1.07B
GORO,Gold Resource Corporation,Gold,43.10M
GORV,"Lazydays Holdings, Inc.",Auto & Truck Dealerships,51.76M
GOSS,"Gossamer Bio, Inc.",Biotechnology,169.66M
GOTU,Gaotu Techedu Inc.,Education & Training Services,1.82B
GOVX,"GeoVax Labs, Inc.",Biotechnology,3.61M
GP,GreenPower Motor Company Inc.,Farm & Heavy Construction Machinery,31.24M
GPAC,Global Partner Acquisition Corp II,Shell Companies,130.32M
GPAK,Gamer Pakistan Inc.,Specialty Business Services,5.12M
GPAT,GP-Act III Acquisition Corp.,Shell Companies,315.31M
GPC,Genuine Parts Company,Auto Parts,21.63B
GPCR,Structure Therapeutics Inc.,Biotechnology,1.75B
GPI,"Group 1 Automotive, Inc.",Auto & Truck Dealerships,4.05B
GPK,Graphic Packaging Holding Company,Packaging & Containers,8.54B
GPMT,Granite Point Mortgage Trust Inc.,REIT - Mortgage,187.09M
GPN,Global Payments Inc.,Specialty Business Services,28.06B
GPOR,Gulfport Energy Corporation,Oil & Gas Exploration & Production,2.69B
GPRE,Green Plains Inc.,Chemicals,1.26B
GPRK,GeoPark Limited,Oil & Gas Exploration & Production,489.20M
GPRO,"GoPro, Inc.",Consumer Electronics,244.80M
GPS,"The Gap, Inc.",Apparel Retail,8.53B
GRAB,Grab Holdings Limited,Software - Application,13.42B
GRBK,"Green Brick Partners, Inc.",Residential Construction,2.52B
GRC,The Gorman-Rupp Company,Specialty Industrial Machinery,872.56M
GRDI,GRIID Infrastructure Inc.,Capital Markets,53.37M
GREE,Greenidge Generation Holdings Inc.,Capital Markets,24.09M
GRFS,"Grifols, S.A.",Drug Manufacturers - General,6.08B
GRFX,Graphex Group Limited,Other Industrial Metals & Mining,16.78M
GRI,"GRI Bio, Inc.",Biotechnology,1.51M
GRIN,Grindrod Shipping Holdings Ltd.,Marine Shipping,272.65M
GRMN,Garmin Ltd.,Scientific & Technical Instruments,32.36B
GRND,Grindr Inc.,Software - Application,1.78B
GRNQ,Greenpro Capital Corp.,Consulting Services,9.17M
GRNT,"Granite Ridge Resources, Inc",Oil & Gas Exploration & Production,838.07M
GROM,"Grom Social Enterprises, Inc.",Internet Content & Information,4.74M
GROV,"Grove Collaborative Holdings, Inc.",Household & Personal Products,63.75M
GROW,"U.S. Global Investors, Inc.",Asset Management,38.06M
GROY,Gold Royalty Corp.,Gold,258.21M
GRPN,"Groupon, Inc.",Internet Content & Information,540.67M
GRRR,Gorilla Technology Group Inc.,Software - Infrastructure,50.45M
GRTS,"Gritstone bio, Inc.",Biotechnology,86.24M
GRTX,"Galera Therapeutics, Inc.",Biotechnology,9.42M
GRVY,"Gravity Co., Ltd.",Electronic Gaming & Multimedia,524.26M
GRWG,GrowGeneration Corp.,Specialty Retail,177.76M
GRYP,"Gryphon Digital Mining, Inc.",Capital Markets,58.22M
GS,"The Goldman Sachs Group, Inc.",Capital Markets,146.66B
GSAT,"Globalstar, Inc.",Telecom Services,2.34B
GSBC,"Great Southern Bancorp, Inc.",Banks - Regional,617.29M
GSBD,"Goldman Sachs BDC, Inc.",Asset Management,1.74B
GSHD,"Goosehead Insurance, Inc",Insurance - Diversified,1.54B
GSIT,"GSI Technology, Inc.",Semiconductors,77.53M
GSIW,Garden Stage Limited,Capital Markets,107.67M
GSK,GSK plc,Drug Manufacturers - General,91.80B
GSL,"Global Ship Lease, Inc.",Rental & Leasing Services,849.27M
GSM,Ferroglobe PLC,Other Industrial Metals & Mining,1.02B
GSUN,Golden Sun Education Group Limited,Education & Training Services,24.36M
GT,The Goodyear Tire & Rubber Company,Auto Parts,3.65B
GTAC,Global Technology Acquisition Corp. I,Shell Companies,65.46M
GTBP,"GT Biopharma, Inc.",Biotechnology,4.62M
GTE,Gran Tierra Energy Inc.,Oil & Gas Exploration & Production,285.44M
GTEC,Greenland Technologies Holding Corporation,Specialty Industrial Machinery,20.26M
GTES,Gates Industrial Corporation plc,Specialty Industrial Machinery,4.36B
GTHX,"G1 Therapeutics, Inc.",Biotechnology,256.18M
GTI,Graphjet Technology Sdn. Bhd.,Shell Companies,1.04B
GTIM,Good Times Restaurants Inc.,Restaurants,31.36M
GTLB,GitLab Inc.,Software - Infrastructure,8.10B
GTLS,"Chart Industries, Inc.",Specialty Industrial Machinery,6.52B
GTN,"Gray Television, Inc.",Broadcasting,673.64M
GTN.A,"Gray Television, Inc.",Broadcasting,662.83M
GTX,Garrett Motion Inc.,Auto Parts,2.11B
GTY,Getty Realty Corp.,REIT - Retail,1.52B
GURE,"Gulf Resources, Inc.",Chemicals,14.87M
GUTS,"Fractyl Health, Inc.",Biotechnology,303.55M
GV,Visionary Holdings Inc.,Education & Training Services,17.32M
GVA,Granite Construction Incorporated,Engineering & Construction,2.73B
GVH,Globavend Holdings Limited,Integrated Freight & Logistics,23.25M
GVP,"GSE Systems, Inc.",Software - Application,9.75M
GWAV,"Greenwave Technology Solutions, Inc.",Waste Management,6.76M
GWH,"ESS Tech, Inc.",Electrical Equipment & Parts,130.59M
GWRE,"Guidewire Software, Inc.",Software - Application,9.72B
GWRS,"Global Water Resources, Inc.",Utilities - Regulated Water,309.32M
GWW,"W.W. Grainger, Inc.",Industrial Distribution,47.05B
GXAI,Gaxos.ai Inc.,Electronic Gaming & Multimedia,4.13M
GXO,"GXO Logistics, Inc.",Integrated Freight & Logistics,6.36B
GYRE,"Gyre Therapeutics, Inc.",Biotechnology,1.29B
GYRO,"Gyrodyne, LLC",Real Estate Services,17.48M
H,Hyatt Hotels Corporation,Lodging,15.31B
HA,"Hawaiian Holdings, Inc.",Airlines,685.96M
HAE,Haemonetics Corporation,Medical Instruments & Supplies,4.82B
HAFC,Hanmi Financial Corporation,Banks - Regional,488.32M
HAFN,Hafnia Limited,Marine Shipping,4.21B
HAIA,Healthcare AI Acquisition Corp.,Shell Companies,59.73M
HAIN,"The Hain Celestial Group, Inc.",Packaged Foods,626.13M
HAL,Halliburton Company,Oil & Gas Equipment & Services,32.83B
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,5.50B
HAO,Haoxi Health Technology Ltd.,Advertising Agencies,254.08M
HAS,"Hasbro, Inc.",Leisure,8.35B
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",REIT - Specialty,3.61B
HAYN,"Haynes International, Inc.",Metal Fabrication,754.90M
HAYW,"Hayward Holdings, Inc.",Electrical Equipment & Parts,3.11B
HBAN,Huntington Bancshares Incorporated,Banks - Regional,20.26B
HBB,Hamilton Beach Brands Holding Company,"Furnishings, Fixtures & Appliances",288.82M
HBCP,"Home Bancorp, Inc.",Banks - Regional,310.00M
HBI,Hanesbrands Inc.,Apparel Manufacturing,1.75B
HBIO,"Harvard Bioscience, Inc.",Medical Instruments & Supplies,154.07M
HBM,Hudbay Minerals Inc.,Copper,3.08B
HBNC,"Horizon Bancorp, Inc.",Banks - Regional,557.39M
HBT,"HBT Financial, Inc.",Banks - Regional,616.63M
HCA,"HCA Healthcare, Inc.",Medical Care Facilities,85.10B
HCAT,"Health Catalyst, Inc.",Health Information Services,377.22M
HCC,"Warrior Met Coal, Inc.",Coking Coal,3.35B
HCI,"HCI Group, Inc.",Insurance - Property & Casualty,1.07B
HCKT,"The Hackett Group, Inc.",Information Technology Services,601.36M
HCM,HUTCHMED (China) Limited,Drug Manufacturers - Specialty & Generic,3.78B
HCP,"HashiCorp, Inc.",Software - Infrastructure,6.59B
HCSG,"Healthcare Services Group, Inc.",Medical Care Facilities,823.74M
HCTI,"Healthcare Triangle, Inc.",Health Information Services,4.70M
HCVI,Hennessy Capital Investment Corp. VI,Shell Companies,174.65M
HCWB,HCW Biologics Inc.,Biotechnology,42.36M
HD,"The Home Depot, Inc.",Home Improvement Retail,342.33B
HDB,HDFC Bank Limited,Banks - Regional,134.43B
HDSN,"Hudson Technologies, Inc.",Specialty Chemicals,413.69M
HE,"Hawaiian Electric Industries, Inc.",Utilities - Regulated Electric,1.12B
HEAR,Turtle Beach Corporation,Consumer Electronics,349.10M
HEES,"H&E Equipment Services, Inc.",Rental & Leasing Services,1.80B
HEI,HEICO Corporation,Aerospace & Defense,26.24B
HEI.A,HEICO Corporation,Aerospace & Defense,26.26B
HELE,Helen of Troy Limited,Household & Personal Products,2.42B
HEPA,"Hepion Pharmaceuticals, Inc.",Biotechnology,6.92M
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,Internet Retail,504.44M
HES,Hess Corporation,Oil & Gas Exploration & Production,49.12B
HESM,Hess Midstream LP,Oil & Gas Midstream,7.84B
HFBL,"Home Federal Bancorp, Inc. of Louisiana",Banks - Regional,36.30M
HFFG,HF Foods Group Inc.,Food Distribution,159.08M
HFWA,Heritage Financial Corporation,Banks - Regional,648.01M
HG,"Hamilton Insurance Group, Ltd.",Insurance - Reinsurance,1.81B
HGAS,Global Gas Corporation,Specialty Chemicals,10.08M
